
2024/02/04 (04:21:40) | ===> btop++ v.1.3.0
2024/02/04 (04:21:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (04:24:44) | ===> btop++ v.1.3.0
2024/02/04 (04:24:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (04:24:52) | ===> btop++ v.1.3.0
2024/02/04 (04:24:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (04:31:35) | ===> btop++ v.1.3.0
2024/02/04 (04:31:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (04:31:36) | ===> btop++ v.1.3.0
2024/02/04 (04:31:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (04:31:36) | ===> btop++ v.1.3.0
2024/02/04 (04:31:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (04:31:37) | ===> btop++ v.1.3.0
2024/02/04 (04:31:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (04:31:40) | ===> btop++ v.1.3.0
2024/02/04 (04:31:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (04:31:41) | ===> btop++ v.1.3.0
2024/02/04 (04:31:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (04:31:54) | ===> btop++ v.1.3.0
2024/02/04 (04:31:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (04:32:38) | ===> btop++ v.1.3.0
2024/02/04 (04:32:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (04:32:50) | ===> btop++ v.1.3.0
2024/02/04 (04:32:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (04:32:55) | ===> btop++ v.1.3.0
2024/02/04 (04:32:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/04 (04:39:43) | ===> btop++ v.1.3.0
2024/02/04 (04:39:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (17:55:28) | ===> btop++ v.1.3.0
2024/02/05 (17:55:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (18:01:25) | ===> btop++ v.1.3.0
2024/02/05 (18:01:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (18:06:52) | ===> btop++ v.1.3.0
2024/02/05 (18:06:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (18:11:00) | ===> btop++ v.1.3.0
2024/02/05 (18:11:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (18:11:17) | ===> btop++ v.1.3.0
2024/02/05 (18:11:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (18:11:22) | ===> btop++ v.1.3.0
2024/02/05 (18:11:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (18:56:31) | ===> btop++ v.1.3.0
2024/02/05 (18:56:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (18:56:44) | ===> btop++ v.1.3.0
2024/02/05 (18:56:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/05 (18:59:53) | ===> btop++ v.1.3.0
2024/02/05 (18:59:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/08 (11:57:02) | ===> btop++ v.1.3.0
2024/02/08 (11:57:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/08 (12:38:09) | ===> btop++ v.1.3.0
2024/02/08 (12:38:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/08 (12:42:30) | ===> btop++ v.1.3.0
2024/02/08 (12:42:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
